# Dépenses fiscales (« niches ») — annexe Voies et Moyens tome II, PLF 2023.
#
# POURQUOI CE FICHIER : c'est la part de l'argent public qui « sort » sans
# bénéficiaire nominatif — l'État en connaît le coût PAR DISPOSITIF mais ne
# publie (et souvent ne connaît) aucun bénéficiaire ligne à ligne. Ce fichier
# alimente la décomposition de l'estimation affichée sur l'accueil.
#
# Source officielle : PLF 2023, Évaluation des Voies et Moyens tome II,
# publié sur data.economie.gouv.fr (dataset
# plf2023_voies_et_moyens_t2_liste_des_depenses_fiscales, XLSX joint,
# onglets « Chiffrages » et « Bénéficiaires » fusionnés par numéro).
# DERNIER MILLÉSIME MACHINE-READABLE : le PLF 2024 ne publie que la liste
# sans chiffrage, les PLF 2025-2026 uniquement des PDF (constat 2026-07-04).
#
# Montants en MILLIONS d'euros. Légende officielle : « - » = aucun effet,
# « ε » = < 0,5 M€, « nc » = non calculé. La colonne la plus complète est la
# réalisation 2021 (333 dispositifs chiffrés sur 465).
impot_categorie;sous_categorie;sous_sous_categorie;numero;libelle;chiffrage_2021_realisation_Meur;chiffrage_2022_prevision_Meur;chiffrage_2023_prevision_Meur;beneficiaires_nature;beneficiaires_nombre
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40101;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;ε;ε;2;Entreprises;2352
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40107;Exonération en faveur des entreprises dont les établissements existants au 1er janvier 2006 dans les ZFU de troisième génération ou créés ou étendus entre le 1er janvier 2006 et le 31 décembre 2014 dans les trois générations de zones franches urbaines peuvent être exonérés de cotisation foncière des entreprises en l'absence de délibération contraire d'une commune ou d'un établissement public de coopération intercommunale;1;1;7;Entreprises;5844
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40108;Abattement en faveur des entreprises dont les établissements situés dans les départements d’outre-mer peuvent bénéficier d’un abattement sur leurs bases nettes imposables à la CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;14;14;21;Entreprises;3365
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40109;Exonération en faveur des entreprises dont les établissements existants au 1er janvier 2015 dans un quartier prioritaire de la politique de la ville (QPV) ou créés ou étendus entre le 1er janvier 2015 et le 31 décembre 2022 dans un QPV peuvent être exonérés de CFE en l'absence de délibération contraire d'une commune ou d'un établissement public de coopération intercommunale;ε;ε;1;Entreprises;622
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40110;Exonération de cotisation sur la valeur ajoutée en faveur des entreprises dont les établissements vendent au public des écrits périodiques en qualité de mandataires inscrits à la commission du réseau de la diffusion de la presse et revêtent la qualité de diffuseurs de presse spécialistes;3;3;5;Entreprises;1980
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40111;Exonération en faveur des établissements créés dans un bassin urbain à dynamiser (BUD) pouvant bénéficier de l’exonération de CFE;ε;ε;ε;Entreprises;104
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40112;Exonération en faveur des établissements dans une zone de développement prioritaire (ZDP) pouvant bénéficier de l’exonération de CFE;0;0;0;Entreprises;0
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40113;Exonération en faveur des établissements exerçant une activité commerciale dans une zone de revitalisation des commerces en milieu rural (ZoRCoMiR) pouvant bénéficier de l'exonération de cotisation foncière des entreprises;0;0;0;Entreprises;0
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50101;Exonération en faveur des personnes âgées ou de condition modeste;28;28;28;Locaux;1320000
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50102;Exonération en faveur des immeubles à caractère social;23;41;41;Locaux;2424000
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50106;Abattement en faveur des immeubles en ZUS (jusqu'en 2015) puis situés dans les quartiers prioritaires de la ville (à compter de 2016);66;111;111;Locaux;1600000
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50107;Abattement en faveur des immeubles anti-sismiques des départements d'outre-mer;ε;ε;ε;Locaux;1147
